login,commits_in_window,merged_prs_in_window,bucket
ArneStenkrona,0,0,Dormant
Aroweeri,0,0,Dormant
Arrow-x,0,0,Dormant
ArshPanesar,0,0,Dormant
Arthas92t,0,0,Dormant
ArthyChaux,0,0,Dormant
Arunkumar1998BOM,0,0,Dormant
Ashafix,0,0,Dormant
AsherGlick,0,0,Dormant
Ashesh3,0,0,Dormant
AskoldMakaruk,0,0,Dormant
AspenBlack,0,0,Dormant
AstroStucky,0,0,Dormant
Atlinx,0,0,Dormant
AttackButton,0,0,Dormant
Auburn,0,0,Dormant
AurumKitsune,0,0,Dormant
Avantir-Chaosfire,0,0,Dormant
Avogine,0,0,Dormant
Awkor,0,0,Dormant
AyOhEe,0,0,Dormant
Ayush-singla27,0,0,Dormant
AyyZerrAsa,0,0,Dormant
BBBenG23,0,0,Dormant
BMagnu,0,0,Dormant
BNTFryingPan,0,0,Dormant
BSChad,0,0,Dormant
BWpanda,0,0,Dormant
BZ1234567890,0,0,Dormant
BaconLord,0,0,Dormant
Baekalfen,0,0,Dormant
BanchouBoo,0,0,Dormant
Banderi,0,0,Dormant
Barinzaya,0,0,Dormant
Bartkk0,0,0,Dormant
Barugon,0,0,Dormant
BeayemX,0,0,Dormant
Begah,0,0,Dormant
Beliar83,0,0,Dormant
BenLubar,0,0,Dormant
Benjamin-Dobell,0,0,Dormant
BenjaminCole1,0,0,Dormant
BenjaminNavarro,0,0,Dormant
BenjaminRiley,0,0,Dormant
BenniKane,0,0,Dormant
BeppeInfo,0,0,Dormant
Bestest-Coder,0,0,Dormant
Beuc,0,0,Dormant
BeyondXinXin,0,0,Dormant
BharatSahlot,0,0,Dormant
Bhu1-V,0,0,Dormant
Big-Burden,0,0,Dormant
BigRed-118,0,0,Dormant
Biliogadafr,0,0,Dormant
BimDav,0,0,Dormant
Biokastin,0,0,Dormant
